field,shape,dtype,size,min,max
I1_vacuum,"(1965960, 1)",float64,1965960,-0.12188938317041209,0.13183948413557403
Q1_vacuum,"(1965960, 1)",float64,1965960,-0.12170298796526445,0.1346568641142514
I2_vacuum,"(1965960, 1)",float64,1965960,-0.13131646525074192,0.13730518709271536
Q2_vacuum,"(1965960, 1)",float64,1965960,-0.14632567018594836,0.13643982083564088
I1_pi,"(1965960, 1)",float64,1965960,-0.12460875774116978,0.1298857554112566
Q1_pi,"(1965960, 1)",float64,1965960,-0.1284809750689248,0.12720827982113256
I2_pi,"(1965960, 1)",float64,1965960,-0.13556136529459256,0.14616734618446392
Q2_pi,"(1965960, 1)",float64,1965960,-0.14179295522938964,0.13829754656746768
I1_pi_half,"(1965960, 1)",float64,1965960,-0.11497279144229007,0.1271615566826047
Q1_pi_half,"(1965960, 1)",float64,1965960,-0.12012998178704902,0.1135815077990541
I2_pi_half,"(1965960, 1)",float64,1965960,-0.13386341164332216,0.1736672380446182
Q2_pi_half,"(1965960, 1)",float64,1965960,-0.1454914309566381,0.1430612984149783
times,"(1, 1024)",float64,1024,0.0,2.046e-06
frequency,"(1, 1)",float64,1,7893595218.0,7893595218.0
pulseSigmas,"(1, 1)",float64,1,2.5e-08,2.5e-08
nSigmaTrunc,"(1, 1)",uint8,1,2.0,2.0
conversion,"(1, 1)",int16,1,-18.0,-18.0
att0,"(1, 1)",uint8,1,14.0,14.0
ampIf_PiPulse,"(1, 1)",float64,1,0.2324429752470089,0.2324429752470089
ampIf_Pi_2,"(1, 1)",float64,1,0.11950499016135477,0.11950499016135477
