state,channel,n_samples,mean,std,min,max,q01,q05,median,q95,q99
vacuum,I1,1965960,-1.164123432317865e-06,0.02384558506309986,-0.1218893826007843,0.13183948397636414,-0.05543307214975357,-0.03921854496002197,1.1990525763394544e-06,0.03924352675676346,0.05552304908633232
vacuum,Q1,1965960,-5.228793270362075e-06,0.0237068310379982,-0.12170299142599106,0.1346568614244461,-0.05518097057938576,-0.03901536390185356,2.2203928892849945e-05,0.038961950689554214,0.05519402027130127
vacuum,I2,1965960,1.1180967703694478e-05,0.028636282309889793,-0.13131646811962128,0.13730518519878387,-0.06670151650905609,-0.04705682396888733,8.482356861350127e-06,0.047102317214012146,0.06669122725725174
vacuum,Q2,1965960,2.056248195003718e-05,0.028579624369740486,-0.14632567763328552,0.13643981516361237,-0.06650769710540771,-0.046941231936216354,3.13385171466507e-05,0.04699969291687012,0.06667397171258926
pi,I1,1965960,0.000888635462615639,0.02503162994980812,-0.12460875511169434,0.1298857480287552,-0.057379789650440216,-0.040394075214862823,0.0009489794028922915,0.04194924235343933,0.05873016640543938
pi,Q1,1965960,-0.0005536616081371903,0.02493259124457836,-0.1284809708595276,0.12720827758312225,-0.058219727128744125,-0.04153403639793396,-0.0005885231075808406,0.040501244366168976,0.0574788898229599
pi,I2,1965960,0.0009180710185319185,0.02952904812991619,-0.13556136190891266,0.1461673527956009,-0.06787939369678497,-0.047733522951602936,0.0009543258929625154,0.0494527630507946,0.06948167085647583
pi,Q2,1965960,0.00012286400306038558,0.029555222019553185,-0.14179295301437378,0.13829754292964935,-0.06867694854736328,-0.048459768295288086,0.00014606962213292718,0.04870449751615524,0.06885386258363724
pi_half,I1,1965960,0.004057490266859531,0.0241518747061491,-0.1149727925658226,0.12716156244277954,-0.052543509751558304,-0.035763826221227646,0.004144788254052401,0.04363808035850525,0.060026541352272034
pi_half,Q1,1965960,-0.0036897300742566586,0.024064624682068825,-0.12012998014688492,0.11358150839805603,-0.059521205723285675,-0.04312866926193237,-0.003741617314517498,0.03599237650632858,0.05262390896677971
pi_half,I2,1965960,0.004936406388878822,0.028674162924289703,-0.1338634043931961,0.17366723716259003,-0.06184327229857445,-0.042266566306352615,0.0049686124548316,0.052029404789209366,0.07164226472377777
pi_half,Q2,1965960,-0.0002960277197416872,0.029089590534567833,-0.14549143612384796,0.1430612951517105,-0.06789781153202057,-0.048093028366565704,-0.00031313567887991667,0.04761422798037529,0.06744030117988586
