frequency,vna_power
7870000000.0,-78.0
7870050052.137644,-76.0
7870100104.275287,-74.0
7870150156.4129305,-72.0
7870200208.550573,-70.0
7870250260.688217,-68.0
7870300312.82586,-66.0
7870350364.963504,-64.0
7870400417.101147,-62.0
7870450469.2387905,-60.0
7870500521.376433,-58.0
7870550573.514077,-56.0
7870600625.651721,-54.0
7870650677.789364,-52.0
7870700729.927008,-50.0
7870750782.064651,-48.0
7870800834.202294,-46.0
7870850886.339937,-44.0
7870900938.477581,-42.0
7870950990.615224,-40.0
7871001042.752868,-38.0
7871051094.890511,-36.0
7871101147.028154,-34.0
7871151199.165797,-32.0
7871201251.303441,-30.0
7871251303.441085,
7871301355.578728,
7871351407.716372,
7871401459.854014,
7871451511.991658,
7871501564.129301,
7871551616.266945,
7871601668.404588,
7871651720.542232,
7871701772.679874,
7871751824.817518,
7871801876.955162,
7871851929.092805,
7871901981.230449,
7871952033.368092,
7872002085.505735,
7872052137.643378,
7872102189.781022,
7872152241.918665,
7872202294.056309,
7872252346.193952,
7872302398.331595,
7872352450.469239,
7872402502.606882,
7872452554.744526,
7872502606.882169,
7872552659.019813,
7872602711.157455,
7872652763.295099,
7872702815.432742,
7872752867.570386,
7872802919.708029,
7872852971.845673,
7872903023.983316,
7872953076.120959,
7873003128.258603,
7873053180.396246,
7873103232.53389,
7873153284.671533,
7873203336.809176,
7873253388.946819,
7873303441.084463,
7873353493.222106,
7873403545.35975,
7873453597.497393,
7873503649.635036,
7873553701.77268,
7873603753.910323,
7873653806.047967,
7873703858.18561,
7873753910.323254,
7873803962.4608965,
7873854014.59854,
7873904066.736183,
7873954118.873827,
7874004171.01147,
7874054223.149114,
7874104275.286757,
7874154327.4244,
7874204379.562044,
7874254431.699687,
7874304483.837331,
7874354535.974974,
7874404588.1126175,
7874454640.25026,
7874504692.387904,
7874554744.525547,
7874604796.663191,
7874654848.800835,
7874704900.9384775,
7874754953.076121,
7874805005.213764,
7874855057.351408,
7874905109.489051,
7874955161.626695,
7875005213.764338,
7875055265.901981,
7875105318.039624,
7875155370.177268,
7875205422.314912,
7875255474.452555,
7875305526.5901985,
7875355578.727841,
7875405630.865485,
7875455683.003128,
7875505735.140772,
7875555787.278415,
7875605839.416059,
7875655891.553701,
7875705943.691345,
7875755995.828988,
7875806047.966632,
7875856100.104276,
7875906152.241919,
7875956204.379562,
7876006256.517205,
7876056308.654849,
7876106360.792492,
7876156412.930136,
7876206465.067779,
7876256517.205422,
7876306569.343065,
7876356621.480709,
7876406673.618353,
7876456725.755996,
7876506777.89364,
7876556830.031282,
7876606882.168926,
7876656934.306569,
7876706986.444213,
7876757038.581856,
7876807090.7195,
7876857142.857142,
7876907194.994786,
7876957247.13243,
7877007299.270073,
7877057351.407717,
7877107403.54536,
7877157455.683003,
7877207507.820646,
7877257559.95829,
7877307612.095933,
7877357664.233577,
7877407716.37122,
7877457768.508863,
7877507820.646506,
7877557872.78415,
7877607924.921794,
7877657977.059437,
7877708029.197081,
7877758081.334723,
7877808133.472367,
7877858185.61001,
7877908237.747654,
7877958289.885297,
7878008342.022941,
7878058394.1605835,
7878108446.298227,
7878158498.435871,
7878208550.573514,
7878258602.711158,
7878308654.848801,
7878358706.986444,
7878408759.124087,
7878458811.261731,
7878508863.399374,
7878558915.537018,
7878608967.674661,
7878659019.8123045,
7878709071.949948,
7878759124.087591,
7878809176.225235,
7878859228.362878,
7878909280.500522,
7878959332.6381645,
7879009384.775808,
7879059436.913451,
7879109489.051095,
7879159541.188738,
7879209593.326382,
7879259645.4640255,
7879309697.601668,
7879359749.739312,
7879409801.876955,
7879459854.014599,
7879509906.152242,
7879559958.2898855,
7879610010.427528,
7879660062.565172,
7879710114.702815,
7879760166.840459,
7879810218.978102,
7879860271.115746,
7879910323.253389,
7879960375.391032,
7880010427.528676,
7880060479.666319,
7880110531.803963,
7880160583.941606,
7880210636.079249,
7880260688.216892,
7880310740.354536,
7880360792.492179,
7880410844.629823,
7880460896.767467,
7880510948.905109,
7880561001.042753,
7880611053.180396,
7880661105.31804,
7880711157.455683,
7880761209.593327,
7880811261.730969,
7880861313.868613,
7880911366.006256,
7880961418.1439,
7881011470.281544,
